City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
239,Haines Junction,CA,60.7522,-137.5108,23.0,30,91,4.61,overcast clouds,2021-04-11 22:51:17
240,Alta Floresta,BR,-9.8756,-56.0861,73.51,91,33,3.2,light rain,2021-04-11 22:53:04
241,Kanashevo,RU,55.2169,62.0634,41.0,93,0,4.47,clear sky,2021-04-11 22:53:04
242,Dingle,PH,10.9995,122.6711,78.31,80,92,5.93,overcast clouds,2021-04-11 22:53:05
243,Berlevag,NO,70.8578,29.0864,34.3,71,74,29.04,light snow,2021-04-11 22:53:05
244,Marsaxlokk,MT,35.8419,14.5431,57.99,88,20,18.41,few clouds,2021-04-11 22:52:13
245,Nakusp,CA,50.2499,-117.8023,48.2,29,100,6.91,overcast clouds,2021-04-11 22:53:06
246,Inta,RU,66.0317,60.1659,34.65,76,69,24.11,light snow,2021-04-11 22:53:06
247,Aksu,CN,41.1231,80.2644,53.78,27,0,6.35,clear sky,2021-04-11 22:53:06
248,Bathsheba,BB,13.2167,-59.5167,78.8,69,75,13.8,volcanic ash,2021-04-11 22:50:34
249,Saskylakh,RU,71.9167,114.0833,16.63,91,85,8.03,overcast clouds,2021-04-11 22:53:07
250,Victoria,HK,22.2855,114.1577,73.99,86,96,1.01,overcast clouds,2021-04-11 22:48:13
251,Inhambane,MZ,-23.865,35.3833,72.63,82,0,6.78,clear sky,2021-04-11 22:53:08
252,Algiers,DZ,36.7525,3.042,55.4,94,20,2.3,few clouds,2021-04-11 22:53:08
253,Belyy Yar,RU,53.6039,91.3903,24.8,74,56,2.24,broken clouds,2021-04-11 22:52:29
254,Joshimath,IN,30.5667,79.5667,47.88,38,3,9.04,clear sky,2021-04-11 22:53:08
255,Torbay,CA,47.6666,-52.7314,33.01,100,90,12.66,fog,2021-04-11 22:51:39
256,Namatanai,PG,-3.6667,152.4333,80.06,81,100,6.55,light rain,2021-04-11 22:51:49
257,Berbera,SO,10.4396,45.0143,79.48,81,14,6.15,few clouds,2021-04-11 22:53:09
258,Saint Anthony,US,45.0205,-93.218,55.4,71,90,9.22,overcast clouds,2021-04-11 22:53:09
259,Trelew,AR,-43.249,-65.3051,69.48,40,0,10.11,clear sky,2021-04-11 22:53:02
